idx,labels
0,6
1,3
2,8
3,20
4,3
5,20
6,1
7,13
8,5
9,17
10,18
11,3
12,6
13,8
14,2
15,1
16,6
17,13
18,9
19,17
20,8
21,20
22,18
23,20
24,9
25,20
26,18
27,13
28,17
29,4
30,7
31,8
32,8
33,11
34,20
35,2
36,5
37,13
38,11
39,8
40,15
41,19
42,1
43,15
44,8
45,3
46,13
47,1
48,2
49,20
50,2
51,8
52,13
53,13
54,6
55,5
56,1
57,3
58,16
59,13
60,16
61,13
62,10
63,10
64,1
65,10
66,12
67,11
68,2
69,13
70,13
71,17
72,20
73,13
74,16
75,6
76,9
77,8
78,9
79,6
80,14
81,9
82,1
83,20
84,3
85,5
86,8
87,13
88,6
89,2
90,12
91,13
92,11
93,5
94,17
95,9
96,10
97,1
98,14
99,4
100,16
101,14
102,1
103,8
104,20
105,20
106,15
107,15
108,1
109,13
110,3
111,20
112,2
113,18
114,20
115,13
116,20
117,13
118,16
119,17
120,3
121,13
122,8
123,8
124,13
125,8
126,13
127,3
128,8
129,19
130,8
131,10
132,5
133,18
134,1
135,3
136,20
137,7
138,17
139,1
140,13
141,13
142,2
143,3
144,8
145,12
146,1
147,3
148,20
149,19
150,6
151,3
152,13
153,1
154,8
155,15
156,6
157,12
158,20
159,5
160,2
161,20
162,13
163,3
164,10
165,18
166,5
167,6
168,20
169,13
170,20
171,6
172,5
173,19
174,2
175,1
176,6
177,5
178,13
179,14
180,8
181,16
182,14
183,8
184,20
185,1
186,11
187,2
188,9
189,9
190,20
191,20
192,11
193,19
194,5
195,20
196,5
197,1
198,8
199,20
200,20
201,14
202,3
203,11
204,1
205,5
206,9
207,3
208,19
209,10
210,5
211,8
212,10
213,2
214,6
215,13
216,18
217,3
218,13
219,8
220,1
221,5
222,6
223,8
224,5
225,20
226,15
227,20
228,4
229,20
230,1
231,20
232,3
233,13
234,8
235,8
236,9
237,8
238,16
239,19
240,6
241,9
242,8
243,13
244,8
245,8
246,12
247,15
248,13
249,13
250,20
251,13
252,5
253,23
254,9
255,14
